759.23	53.00	158.00
925.5468	80.00	159.00
1072.4093	38099.00	246.00
1277.9724	523.00	203.00
2068.7134	558.00	159.00
2205.2148	493.00	160.00
2273.79	167.00	159.00
2396.6348	989.00	205.00
2418.289	282.00	159.00
2558.6726	553.00	159.00
2624.396	396.00	224.00
2648.7158	527.00	162.00
2858.1785	38049.00	180.00
2962.0786	916.00	160.00
3040.1013	592.00	204.00
3053.3167	1112.00	163.00
3199.168	445.00	159.00
3217.2688	1080.00	161.00
3408.3577	741.00	161.00
3453.9365	782.00	163.00
3891.031	1083.00	230.00
3932.1853	1679.00	163.00
3956.2449	863.00	162.00
4025.5447	1803.00	230.00
4126.955	997.00	405.00
4417.657	1621.00	174.00
4468.1235	2012.00	181.00
4615.864	1191.00	164.00
4636.9033	1631.00	166.00
4859.824	1389.00	176.00
4900.615	2100.00	169.00
4956.2153	2078.00	164.00
5054.584	2394.00	167.00
5264.875	2110.00	181.00
5331.518	3449.00	170.00
5348.019	1369.00	163.00
5431.315	4711.00	172.00
5458.481	2891.00	163.00
5468.2007	4553.00	167.00
5542.636	2660.00	163.00
5625.651	2430.00	175.00
5688.333	1533.00	163.00
5875.4536	1964.00	164.00
5904.21	1940.00	162.00
5986.633	802.00	164.00
6182.011	4884.00	238.00
6203.3633	1424.00	213.00
6310.3457	1346.00	170.00
6417.565	3444.00	224.00
6432.143	3772.00	168.00
6454.9326	5636.00	170.00
6471.6426	4867.00	169.00
6499.3887	6067.00	195.00
6582.095	2559.00	168.00
6748.0347	3424.00	170.00
6842.5303	3861.00	173.00
6912.256	6272.00	175.00
7046.3984	2535.00	183.00
7089.2437	5145.00	178.00
7126.7983	4934.00	172.00
7260.307	4520.00	211.00
7307.9023	4336.00	171.00
7324.6094	2323.00	247.00
7373.5522	5114.00	200.00
7411.5337	2110.00	166.00
7421.107	3262.00	170.00
7450.7314	4767.00	179.00
7507.3057	3498.00	178.00
7547.1055	3072.00	213.00
7595.9976	2566.00	170.00
7622.923	2707.00	166.00
7715.6523	4056.00	176.00
7843.8003	4537.00	174.00
7857.825	3580.00	175.00
7867.2554	6356.00	384.00
7872.8105	5620.00	173.00
7883.9106	4849.00	171.00
7954.0386	6214.00	180.00
8072.341	5387.00	173.00
8195.265	5954.00	170.00
8260.266	3785.00	182.00
8638.867	6856.00	178.00
8664.836	6481.00	179.00
8898.774	4623.00	168.00
8905.601	5789.00	275.00
8987.048	7100.00	200.00
9552.248	6475.00	175.00
9735.333	8101.00	224.00
9755.119	7467.00	175.00
9822.959	5991.00	172.00
10621.6	8419.00	174.00
11045.7295	5940.00	183.00
11350.38	7108.00	175.00
11641.499	10644.00	191.00
12228.833	10912.00	183.00
12658.131	11465.00	180.00
13299.02	12888.00	194.00
13541.8	12477.00	182.00
13873.216	10490.00	181.00
14213.505	16605.00	187.00
Distance	nœuds	temps
